"","X","Year","Movement_type","Team_previous_season","Team","Players"
"1",1,1920,"Draft","--","Akr",3
"2",2,1920,"Draft","--","Buf",4
"3",3,1920,"Draft","--","Can",2
"4",4,1920,"Draft","--","ChiC",8
"5",5,1920,"Draft","--","ChiT",5
"6",6,1920,"Draft","--","Col",13
"7",7,1920,"Draft","--","Day",9
"8",8,1920,"Draft","--","Dec",5
"9",9,1920,"Draft","--","Det",10
"10",10,1920,"Draft","--","Ham",16
"11",11,1920,"Draft","--","Mun",6
"12",12,1920,"Draft","--","RI",10
"13",13,1920,"Draft","--","Roc",20
"14",14,1920,"Draft","Akron","Akr",1
"15",15,1920,"Draft","Akron","Can",1
"16",16,1920,"Draft","Alfred","Roc",1
"17",17,1920,"Draft","American College of Physical Education","ChiC",1
"18",18,1920,"Draft","Army","Roc",1
"19",19,1920,"Draft","Auburn","Cle",1
"20",20,1920,"Draft","Bethany (WV)","Dec",1
"21",21,1920,"Draft","Bliss College","Col",1
"22",22,1920,"Draft","Brown","Akr",1
"23",23,1920,"Draft","Brown","Buf",1
"24",24,1920,"Draft","Brown","Roc",1
"25",25,1920,"Draft","Bucknell","Can",1
"26",26,1920,"Draft","Carlisle","Can",2
"27",27,1920,"Draft","Carlisle","Col",1
"28",28,1920,"Draft","Carnegie Mellon","Cle",1
"29",29,1920,"Draft","Catholic","Cle",1
"30",30,1920,"Draft","Catholic","Det",1
"31",31,1920,"Draft","Centre (KY)","Can",1
"32",32,1920,"Draft","Chicago","ChiT",2
"33",33,1920,"Draft","Chicago","Ham",1
"34",34,1920,"Draft","Christian Brothers","Col",1
"35",35,1920,"Draft","Christian Brothers","Day",1
"36",36,1920,"Draft","Colgate","Buf",1
"37",37,1920,"Draft","Colgate","Det",1
"38",38,1920,"Draft","Colgate","Ham",1
"39",39,1920,"Draft","Colgate","Roc",3
"40",40,1920,"Draft","Cornell","Buf",1
"41",41,1920,"Draft","Cornell","ChiC",1
"42",42,1920,"Draft","Cornell","Cle",1
"43",43,1920,"Draft","Dartmouth","Buf",2
"44",44,1920,"Draft","Dartmouth","Can",1
"45",45,1920,"Draft","Dartmouth","ChiT",1
"46",46,1920,"Draft","Dartmouth","RI",1
"47",47,1920,"Draft","Dayton","Buf",1
"48",48,1920,"Draft","Dayton","Day",1
"49",49,1920,"Draft","Denison","Col",1
"50",50,1920,"Draft","Denison","Day",3
"51",51,1920,"Draft","DePaul","ChiC",2
"52",52,1920,"Draft","DePauw","Mun",1
"53",53,1920,"Draft","Detroit Mercy","Det",5
